Date,Open Price,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-01-2018,395.9,395.9,389,389.7,390.0850343,255732,1188,99757226,197852,77.37,6.9,-6.2
02-01-2018,392.9,392.9,383.7,386.45,386.0038197,175928,2937,67908880,99547,56.58,9.2,-6.45
03-01-2018,387,390,385.15,386.25,387.6917932,102110,1648,39587209,46725,45.76,4.85,-0.75
04-01-2018,386.25,388,384.5,387.15,386.7255641,77468,1513,29958856,38630,49.87,3.5,0.9
05-01-2018,387,388.95,382.5,383.7,384.2113776,326818,4744,125567194,211485,64.71,6.45,-3.3
08-01-2018,383.7,390.35,383.7,388.25,387.7163059,117884,1466,45705549,58165,49.34,6.65,4.55
09-01-2018,389,393.45,386.1,392.2,390.0735694,525001,2546,204789014,390853,74.45,7.35,3.2
10-01-2018,393,395.15,387.5,388.3,390.7343303,325596,3779,127221535,132794,40.78,7.65,-4.7
11-01-2018,388,390.9,387,388.5,388.7145289,200917,1692,78099357,130865,65.13,3.9,0.5
12-01-2018,391.45,394.25,386,388,390.2511243,316859,2379,123654581,132358,41.77,8.25,-3.45
15-01-2018,388.5,395.9,388.5,390.75,391.4299763,459816,11554,179985766,301211,65.51,7.4,2.25
16-01-2018,390,391.75,384.1,385.05,386.0646936,119780,1432,46242829,38899,32.48,7.65,-4.95
17-01-2018,384,387.7,374.9,384.75,381.6922744,159522,2183,60888315,27655,17.34,12.8,0.75
18-01-2018,384.1,384.3,377.6,378.15,378.9869544,163657,3408,62023868,65756,40.18,6.7,-5.95
19-01-2018,381.9,389.55,376.05,385.7,377.9873659,1345643,3760,508636053,1055177,78.41,13.5,3.8
22-01-2018,387.5,388.05,379.75,382.4,382.9030931,80438,1327,30799959,16666,20.72,8.3,-5.1
23-01-2018,395,398.5,388,389.2,391.2031431,586744,8162,229536097,236709,40.34,10.5,-5.8
24-01-2018,392,393.8,388.5,392.45,390.7051033,255208,3655,99711068,113112,44.32,5.3,0.45
25-01-2018,393,395.5,389.05,390.9,391.0993224,441391,4215,172627721,188963,42.81,6.45,-2.1
29-01-2018,394.85,400,392.75,398.75,396.556761,244622,4985,97006508,100071,40.91,7.25,3.9
30-01-2018,405,421.95,399.5,415.6,413.4590355,2771862,21690,1146051389,1445976,52.17,22.45,10.6
31-01-2018,422.2,427.6,415.1,417.75,422.0877414,2184910,17981,922223727,1331479,60.94,12.5,-4.45
01-02-2018,419.9,422.4,410.55,416.55,417.393098,855456,8070,357061430,507473,59.32,11.85,-3.35
02-02-2018,416,416.25,408.15,409.4,411.3221025,546767,42672,224897352,267513,48.93,8.1,-6.6
05-02-2018,408.85,411.5,403.75,409.85,408.6196696,716761,6797,292882643,317619,44.31,7.75,1
06-02-2018,405,406.95,400.05,402.5,402.620513,774435,9893,311803417,383042,49.46,6.9,-2.5
